BFSP1	ENST00000377873.8	ENSG00000125864
BGLAP	ENST00000368272.5	ENSG00000242252
BGN	ENST00000331595.9	ENSG00000182492
CEACAM1	ENST00000161559.11	ENSG00000079385
BICD1	ENST00000652176.1	ENSG00000151746
BID	ENST00000622694.5	ENSG00000015475
BIK	ENST00000216115.3	ENSG00000100290
PRDM1	ENST00000369096.9	ENSG00000057657
BLK	ENST00000259089.9	ENSG00000136573
BLM	ENST00000355112.8	ENSG00000197299
BLMH	ENST00000261714.11	ENSG00000108578
CXCR5	ENST00000292174.5	ENSG00000160683
BLVRA	ENST00000265523.9	ENSG00000106605
BLVRB	ENST00000263368.9	ENSG00000090013
BNC1	ENST00000345382.7	ENSG00000169594
BMI1	ENST00000376663.8	ENSG00000168283
BMP1	ENST00000306349.13	ENSG00000168487
BMP1	ENST00000306385.10	ENSG00000168487
BMP2	ENST00000378827.5	ENSG00000125845
BMP3	ENST00000282701.4	ENSG00000152785
BMP4	ENST00000245451.9	ENSG00000125378
BMP5	ENST00000370830.4	ENSG00000112175
BMP6	ENST00000283147.7	ENSG00000153162
BMP7	ENST00000395863.8	ENSG00000101144
BMP8B	ENST00000372827.8	ENSG00000116985
BMPR1A	ENST00000372037.8	ENSG00000107779
BMPR1B	ENST00000515059.6	ENSG00000138696
BMPR2	ENST00000374580.10	ENSG00000204217
BMX	ENST00000348343.11	ENSG00000102010
POLR3D	ENST00000306433.9	ENSG00000168495
BNIP1	ENST00000351486.10	ENSG00000113734
BNIP2	ENST00000607373.6	ENSG00000140299
BNIP3	ENST00000368636.9	ENSG00000176171
BNIP3L	ENST00000380629.7	ENSG00000104765
BOK	ENST00000318407.5	ENSG00000176720
DST	ENST00000370765.11	ENSG00000151914
DST	ENST00000680361.1	ENSG00000151914
FOXL2	ENST00000648323.1	ENSG00000183770
BPGM	ENST00000344924.8	ENSG00000172331
BPHL	ENST00000380379.10	ENSG00000137274
BPI	ENST00000642449.2	ENSG00000101425
BRCA1	ENST00000357654.9	ENSG00000012048
BRAF	ENST00000644969.2	ENSG00000157764
BRAF	ENST00000646891.2	ENSG00000157764
BRCA2	ENST00000380152.8	ENSG00000139618
BRDT	ENST00000399546.7	ENSG00000137948
ZFP36L1	ENST00000439696.3	ENSG00000185650
ZFP36L2	ENST00000282388.4	ENSG00000152518
BRS3	ENST00000370648.4	ENSG00000102239
BSG	ENST00000333511.9	ENSG00000172270
BST1	ENST00000265016.9	ENSG00000109743
BST2	ENST00000252593.7	ENSG00000130303
BTC	ENST00000395743.8	ENSG00000174808
BTD	ENST00000643237.3	ENSG00000169814
KLF9	ENST00000377126.4	ENSG00000119138
KLF5	ENST00000377687.6	ENSG00000102554
BTF3	ENST00000380591.8	ENSG00000145741
BTG1	ENST00000256015.5	ENSG00000133639
BTK	ENST00000308731.8	ENSG00000010671
BTN1A1	ENST00000684113.1	ENSG00000124557
BUB1	ENST00000302759.11	ENSG00000169679
BUB1B	ENST00000287598.11	ENSG00000156970
BYSL	ENST00000230340.9	ENSG00000112578
TSPO	ENST00000337554.8	ENSG00000100300
C1QBP	ENST00000225698.8	ENSG00000108561
SERPING1	ENST00000278407.9	ENSG00000149131
C1QA	ENST00000374642.8	ENSG00000173372
C1QB	ENST00000509305.6	ENSG00000173369
C1QC	ENST00000374640.9	ENSG00000159189
C1R	ENST00000647956.2	ENSG00000159403
C1S	ENST00000360817.10	ENSG00000182326
C2	ENST00000299367.10	ENSG00000166278
C3	ENST00000245907.11	ENSG00000125730
C3AR1	ENST00000307637.5	ENSG00000171860
C4A	ENST00000428956.7	ENSG00000244731
C4B	ENST00000435363.7	ENSG00000224389
C4BPA	ENST00000367070.8	ENSG00000123838
C4BPB	ENST00000367078.8	ENSG00000123843
CAPN5	ENST00000648180.1	ENSG00000149260
C5	ENST00000223642.3	ENSG00000106804
C5AR1	ENST00000355085.4	ENSG00000197405
C6	ENST00000337836.10	ENSG00000039537
C7	ENST00000313164.10	ENSG00000112936
C8A	ENST00000361249.4	ENSG00000157131
C8B	ENST00000371237.9	ENSG00000021852
C8G	ENST00000371634.7	ENSG00000176919
OSGIN2	ENST00000451899.7	ENSG00000164823
C9	ENST00000263408.5	ENSG00000113600
VPS51	ENST00000279281.8	ENSG00000149823
MRPL49	ENST00000279242.7	ENSG00000149792
ZNHIT2	ENST00000310597.6	ENSG00000174276
MPPED2	ENST00000358117.10	ENSG00000066382
MYRF	ENST00000278836.10	ENSG00000124920
TMEM258	ENST00000537328.6	ENSG00000134825
DAGLA	ENST00000257215.10	ENSG00000134780
FMNL1	ENST00000331495.8	ENSG00000184922
LDLRAD4	ENST00000359446.11	ENSG00000168675
PTTG1IP	ENST00000330938.8	ENSG00000183255
CFAP410	ENST00000339818.9	ENSG00000160226
TMEM50B	ENST00000542230.7	ENSG00000142188
MPPED1	ENST00000443721.2	ENSG00000186732
CA1	ENST00000523022.6	ENSG00000133742
CA2	ENST00000285379.10	ENSG00000104267
CA3	ENST00000285381.3	ENSG00000164879
CA4	ENST00000300900.9	ENSG00000167434
CA5A	ENST00000649794.3	ENSG00000174990
CA6	ENST00000377443.7	ENSG00000131686
CA7	ENST00000338437.7	ENSG00000168748
CA8	ENST00000317995.5	ENSG00000178538
CA9	ENST00000378357.9	ENSG00000107159
CA11	ENST00000084798.9	ENSG00000063180
CA12	ENST00000178638.8	ENSG00000074410
CACNA1A	ENST00000360228.11	ENSG00000141837
CACNA1A	ENST00000638009.2	ENSG00000141837
CACNA1B	ENST00000371372.6	ENSG00000148408
CACNA1C	ENST00000399603.6	ENSG00000151067
CACNA1C	ENST00000399655.6	ENSG00000151067
CACNA1D	ENST00000288139.11	ENSG00000157388
CACNA1D	ENST00000350061.11	ENSG00000157388
CACNA1E	ENST00000367573.7	ENSG00000198216
CACNA1F	ENST00000323022.10	ENSG00000102001
CACNA1S	ENST00000362061.4	ENSG00000081248
DDR1	ENST00000376568.8	ENSG00000204580
CACNA2D1	ENST00000356860.8	ENSG00000153956
CACNB1	ENST00000394303.8	ENSG00000067191
CACNB2	ENST00000324631.13	ENSG00000165995
CACNB2	ENST00000377329.10	ENSG00000165995
CACNB3	ENST00000301050.7	ENSG00000167535
CACNB4	ENST00000539935.7	ENSG00000182389
CACNG1	ENST00000226021.5	ENSG00000108878
SLC25A20	ENST00000319017.5	ENSG00000178537
CAD	ENST00000264705.9	ENSG00000084774
CALB1	ENST00000265431.7	ENSG00000104327
CALB2	ENST00000302628.9	ENSG00000172137
S100G	ENST00000380200.3	ENSG00000169906
CALCA	ENST00000331587.9	ENSG00000110680
CALCB	ENST00000324229.11	ENSG00000175868
CALCR	ENST00000426151.7	ENSG00000004948
CALD1	ENST00000361675.7	ENSG00000122786
CALM1	ENST00000356978.9	ENSG00000198668
CALM2	ENST00000272298.12	ENSG00000143933
CALM3	ENST00000291295.14	ENSG00000160014
CALML3	ENST00000315238.3	ENSG00000178363
CALR	ENST00000316448.10	ENSG00000179218
CALU	ENST00000249364.9	ENSG00000128595
