isoform,structural_category
ONT1.1080.26464,ISM
ONT1.1080.26465,FSM
ONT1.1080.26469,NIC
ONT1.1080.26472,FSM
ONT1.1080.26473,ISM
ONT1.1080.26478,ISM
ONT1.1080.26484,ISM
ONT1.1080.26485,NNC
ONT1.1080.26486,FSM
ONT1.1080.26489,NNC
ONT1.1080.27638,FSM
ONT1.1080.27639,FSM
ONT1.1080.27643,ISM
ONT1.1080.27646,NIC
ONT1.1080.27647,ISM
ONT1.1080.27648,NIC
ONT1.1080.27649,NNC
ONT1.1080.27650,FSM
ONT1.1080.27653,ISM
ONT1.1080.27657,NIC
ONT1.1080.27658,FSM
ONT1.1080.27664,NIC
ONT1.1080.27668,ISM
ONT1.1080.27672,ISM
ONT1.1080.27674,FSM
ONT1.1080.27675,NIC
ONT1.1080.27683,NNC
ONT1.1080.27684,NNC
ONT1.1080.27714,NNC
ONT1.1080.27727,NIC
ONT1.1080.2813,ISM
ONT1.1080.2815,ISM
ONT1.1080.2816,ISM
ONT1.1080.2818,ISM
ONT1.1080.2821,ISM
ONT1.1080.2825,ISM
ONT1.1080.28597,ISM
ONT1.1080.28598,ISM
ONT1.1080.28599,ISM
ONT1.1080.28602,ISM
ONT1.1080.28604,ISM
ONT1.1080.28605,FSM
ONT1.1080.28606,FSM
ONT1.1080.28610,NNC
ONT1.1080.28612,ISM
ONT1.1080.28616,FSM
ONT1.1080.28618,ISM
ONT1.1080.28620,NIC
ONT1.1080.28625,NNC
ONT1.1080.28627,NIC
ONT1.1080.28631,ISM
ONT1.1080.28640,NNC
ONT1.1080.28652,NIC
ONT1.1080.28677,NNC
ONT1.1080.28773,NNC
ONT1.1080.29592,NIC
ONT1.1080.8141,NNC
ONT1.1080.8153,ISM
ONT1.1080.8168,NIC
ONT1.1080.8194,NIC
ONT1.1080.8487,FSM
ONT1.1080.8488,FSM
ONT1.1058.905,NNC
ONT1.1058.9209,NNC
ONT1.1058.974,NIC
ONT1.1063.5864,FSM
ONT1.1063.5865,NNC
ONT1.1063.5871,ISM
ONT1.1063.5873,ISM
ONT1.1063.5874,NNC
ONT1.1063.5878,FSM
ONT1.1080.8505,NIC
ONT1.1080.8507,NIC
ONT1.1080.8508,NNC
ONT1.1080.8511,NNC
ONT1.1080.8513,FSM
ONT1.1080.9732,NNC
ONT1.1080.9827,FSM
ONT1.1080.9832,NNC
ONT1.1080.9833,NNC
ONT1.1080.9834,NNC
ONT1.1080.9840,NNC
ONT1.1080.9847,NNC
ONT1.1080.9855,NNC
ONT1.1080.9864,NNC
ONT1.1080.9875,NNC
ONT1.1080.9885,NNC
ONT1.1080.9912,NNC
ONT1.1080.9913,NNC
ONT1.1080.9935,NNC
ONT1.1086.10007,NNC
ONT1.1086.101,ISM
ONT1.1086.10267,FSM
ONT1.1086.10355,FSM
ONT1.1086.10356,FSM
ONT1.1086.10358,NNC
ONT1.1086.10363,FSM
ONT1.1086.10368,FSM
ONT1.1086.10381,NNC
ONT1.1086.105,ISM
ONT1.1086.11014,ISM
ONT1.1086.11015,FSM
ONT1.1086.11035,ISM
ONT1.1086.11126,NNC
ONT1.1086.11127,FSM
ONT1.1086.11129,ISM
ONT1.1086.11536,ISM
ONT1.1086.11628,ISM
ONT1.1086.11711,ISM
ONT1.1086.11761,ISM
ONT1.1086.11876,FSM
ONT1.1086.11904,ISM
ONT1.1086.11917,FSM
ONT1.1086.11956,ISM
ONT1.1086.12347,FSM
ONT1.1086.12348,FSM
ONT1.1086.12390,FSM
ONT1.1086.12572,FSM
ONT1.1086.12619,FSM
ONT1.1086.12629,NIC
ONT1.1086.12631,NIC
ONT1.1086.12644,FSM
ONT1.1086.12648,NIC
ONT1.1086.12670,ISM
ONT1.1086.12909,ISM
ONT1.1086.13120,ISM
ONT1.1086.13147,ISM
ONT1.1086.13244,FSM
ONT1.1086.13257,ISM
ONT1.1086.13260,ISM
ONT1.1086.13261,ISM
ONT1.1086.13304,ISM
ONT1.1086.13308,ISM
ONT1.1086.13313,ISM
ONT1.1086.13317,ISM
ONT1.1086.13330,ISM
ONT1.1086.13347,ISM
ONT1.1086.13492,NNC
ONT1.1086.13494,NNC
ONT1.1086.141,ISM
ONT1.1086.14202,FSM
ONT1.1086.14203,FSM
ONT1.1086.14204,FSM
ONT1.1086.14206,FSM
ONT1.1086.14208,FSM
ONT1.1086.14209,FSM
ONT1.1086.14215,FSM
ONT1.1086.14224,NIC
ONT1.1086.14234,NNC
ONT1.1086.14237,NIC
ONT1.1086.14243,NIC
ONT1.1086.14378,ISM
ONT1.1086.14381,ISM
ONT1.1086.14384,ISM
ONT1.1086.14389,ISM
ONT1.1086.14390,ISM
ONT1.1086.14401,ISM
ONT1.1086.14438,NNC
ONT1.1086.14577,ISM
ONT1.1086.14895,NNC
ONT1.1086.15,NNC
ONT1.1086.15516,FSM
ONT1.1086.15534,FSM
ONT1.1086.15539,FSM
ONT1.1086.15691,FSM
ONT1.1086.15695,FSM
ONT1.1086.15699,ISM
ONT1.1086.15705,FSM
ONT1.1086.15712,FSM
ONT1.1086.15746,NIC
ONT1.1086.15752,ISM
ONT1.1086.15766,ISM
ONT1.1086.15778,NNC
ONT1.1086.15780,FSM
ONT1.1086.15798,NIC
ONT1.1086.15831,NIC
ONT1.1086.15870,NNC
ONT1.1086.16402,ISM
ONT1.1086.173,NNC
ONT1.1086.17563,NNC
ONT1.1086.17579,NNC
ONT1.1086.17588,NNC
ONT1.1086.178,NNC
ONT1.1086.1839,FSM
ONT1.1086.185,NNC
